alpha_fraud,alpha_legit,tau_fraud,tau_legit,fraud_coverage,genuine_exclusion_rate,approve_share,review_share,verify_share,empty_share
0.05,0.01,0.003952355683852936,0.13785349808423555,0.9532908704883227,0.009974554707379134,0.555027532624274,0.43182218199190364,0.013150285383822383,0.0
0.05,0.02,0.003952355683852936,0.08545020485172668,0.9532908704883227,0.019974554707379136,0.555027532624274,0.4205828367403384,0.024389630635387596,0.0
0.05,0.05,0.003952355683852936,0.04164859014013311,0.9532908704883227,0.04997455470737913,0.555027532624274,0.3890523245580951,0.055920142817630934,0.0
0.1,0.01,0.006441838227295382,0.13785349808423555,0.9023354564755839,0.009974554707379134,0.6887430539840588,0.2981066606321189,0.013150285383822383,0.0
0.1,0.02,0.006441838227295382,0.08545020485172668,0.9023354564755839,0.019974554707379136,0.6887430539840588,0.28686731538055366,0.024389630635387596,0.0
0.1,0.05,0.006441838227295382,0.04164859014013311,0.9023354564755839,0.04997455470737913,0.6887430539840588,0.2553368031983103,0.055920142817630934,0.0
0.15,0.01,0.009308788729467714,0.13785349808423555,0.8535031847133758,0.009974554707379134,0.7714163586532901,0.21543335596288754,0.013150285383822383,0.0
0.15,0.02,0.009308788729467714,0.08545020485172668,0.8535031847133758,0.019974554707379136,0.7714163586532901,0.20419401071132232,0.024389630635387596,0.0
0.15,0.05,0.009308788729467714,0.04164859014013311,0.8535031847133758,0.04997455470737913,0.7714163586532901,0.17266349852907897,0.055920142817630934,0.0
0.2,0.01,0.013062771288647091,0.13785349808423555,0.802547770700637,0.009974554707379134,0.8309823740916749,0.15586734052450277,0.013150285383822383,0.0
0.2,0.02,0.013062771288647091,0.08545020485172668,0.802547770700637,0.019974554707379136,0.8309823740916749,0.14462799527293757,0.024389630635387596,0.0
0.2,0.05,0.013062771288647091,0.04164859014013311,0.802547770700637,0.04997455470737913,0.8309823740916749,0.11309748309069423,0.055920142817630934,0.0
0.25,0.01,0.017335614404500415,0.13785349808423555,0.7515923566878981,0.009974554707379134,0.8695029041261221,0.11734681049005556,0.013150285383822383,0.0
0.25,0.02,0.017335614404500415,0.08545020485172668,0.7515923566878981,0.019974554707379136,0.8695029041261221,0.10610746523849035,0.024389630635387596,0.0
0.25,0.05,0.017335614404500415,0.04164859014013311,0.7515923566878981,0.04997455470737913,0.8695029041261221,0.07457695305624701,0.055920142817630934,0.0
0.3,0.01,0.020384774669604335,0.13785349808423555,0.70276008492569,0.009974554707379134,0.8874053958914787,0.0994443187246989,0.013150285383822383,0.0
0.3,0.02,0.020384774669604335,0.08545020485172668,0.70276008492569,0.019974554707379136,0.8874053958914787,0.08820497347313369,0.024389630635387596,0.0
0.3,0.05,0.020384774669604335,0.04164859014013311,0.70276008492569,0.04997455470737913,0.8874053958914787,0.05667446129089035,0.055920142817630934,0.0
0.35,0.01,0.024516370172866557,0.13785349808423555,0.6518046709129511,0.009974554707379134,0.9050313042166402,0.08181841039953736,0.013150285383822383,0.0
0.35,0.02,0.024516370172866557,0.08545020485172668,0.6518046709129511,0.019974554707379136,0.9050313042166402,0.07057906514797214,0.024389630635387596,0.0
0.35,0.05,0.024516370172866557,0.04164859014013311,0.6518046709129511,0.04997455470737913,0.9050313042166402,0.039048552965728796,0.055920142817630934,0.0
0.4,0.01,0.032075037954987826,0.13785349808423555,0.6029723991507431,0.009974554707379134,0.9278620100072917,0.058987704608885874,0.013150285383822383,0.0
0.4,0.02,0.032075037954987826,0.08545020485172668,0.6029723991507431,0.019974554707379136,0.9278620100072917,0.04774835935732066,0.024389630635387596,0.0
0.4,0.05,0.032075037954987826,0.04164859014013311,0.6029723991507431,0.04997455470737913,0.9278620100072917,0.016217847175077318,0.055920142817630934,0.0
0.45,0.01,0.042354723139682075,0.13785349808423555,0.5520169851380042,0.009974554707379134,0.9449598954011718,0.04188981921500591,0.013150285383822383,0.0
0.45,0.02,0.042354723139682075,0.08545020485172668,0.5520169851380042,0.019974554707379136,0.9449598954011718,0.030650473963440696,0.024389630635387596,0.0
0.45,0.05,0.042354723139682075,0.04164859014013311,0.5520169851380042,0.04997455470737913,0.9440798571823691,0.0008800382188026451,0.05504010459882829,0.0008800382188026451
0.5,0.01,0.05339828682991807,0.13785349808423555,0.5010615711252654,0.009974554707379134,0.9572049986170827,0.02964471599909482,0.013150285383822383,0.0
0.5,0.02,0.05339828682991807,0.08545020485172668,0.5010615711252654,0.019974554707379136,0.9572049986170827,0.01840537074752961,0.024389630635387596,0.0
0.5,0.05,0.05339828682991807,0.04164859014013311,0.5010615711252654,0.04997455470737913,0.9440798571823691,0.013125141434713735,0.042795001382917204,0.013125141434713735
0.55,0.01,0.06835531695864817,0.13785349808423555,0.45222929936305734,0.009974554707379134,0.9678911769882578,0.018958537627919842,0.013150285383822383,0.0
0.55,0.02,0.06835531695864817,0.08545020485172668,0.45222929936305734,0.019974554707379136,0.9678911769882578,0.00771919237635463,0.024389630635387596,0.0
0.55,0.05,0.06835531695864817,0.04164859014013311,0.45222929936305734,0.04997455470737913,0.9440798571823691,0.023811319805888714,0.03210882301174223,0.023811319805888714
0.6,0.01,0.08134822194151395,0.13785349808423555,0.4012738853503185,0.009974554707379134,0.974428603756506,0.01242111085967162,0.013150285383822383,0.0
0.6,0.02,0.08134822194151395,0.08545020485172668,0.4012738853503185,0.019974554707379136,0.974428603756506,0.0011817656081064092,0.024389630635387596,0.0
0.6,0.05,0.08134822194151395,0.04164859014013311,0.4012738853503185,0.04997455470737913,0.9440798571823691,0.030348746574136935,0.025571396243494002,0.030348746574136935
