trial,validation_month,tpr_at_5pct_fpr,colsample_bytree,learning_rate,min_child_samples,n_estimators,num_leaves,subsample
-1,4,0.5661157024793388,0.8,0.05,100,500,31,0.9
0,4,0.5488980716253443,0.7,0.08,20,500,15,0.8
1,4,0.5523415977961432,0.8,0.08,20,700,15,1.0
2,4,0.5020661157024794,0.6,0.08,200,350,127,0.7
3,4,0.5495867768595041,0.7,0.02,20,1000,127,1.0
4,4,0.5681818181818182,0.6,0.05,20,350,15,0.9
5,4,0.5482093663911846,0.6,0.12,200,350,15,0.7
6,4,0.5523415977961432,0.6,0.03,20,1000,127,0.7
7,4,0.5247933884297521,0.7,0.05,400,500,127,0.8
8,4,0.5020661157024794,1.0,0.08,50,350,127,0.7
9,4,0.5550964187327824,0.8,0.02,20,350,127,1.0
10,4,0.5034435261707989,0.6,0.12,100,350,63,0.8
11,4,0.5544077134986226,0.7,0.08,200,200,31,1.0
12,4,0.5206611570247934,0.6,0.12,20,350,31,1.0
13,4,0.5234159779614325,0.7,0.08,400,350,127,1.0
14,4,0.571625344352617,0.6,0.05,100,200,15,0.9
15,4,0.5654269972451791,0.9,0.02,100,500,31,0.7
16,4,0.5358126721763086,0.7,0.05,20,700,127,1.0
17,4,0.5475206611570248,0.6,0.03,400,500,127,0.9
18,4,0.5668044077134986,0.9,0.05,400,350,15,0.7
19,4,0.5316804407713499,0.6,0.12,400,1000,15,0.7
20,4,0.5371900826446281,1.0,0.05,50,500,63,0.7
21,4,0.5785123966942148,0.9,0.02,200,1000,15,0.8
22,4,0.5433884297520661,0.9,0.08,50,700,31,1.0
23,4,0.5371900826446281,0.7,0.05,50,500,127,0.7
24,4,0.5,0.7,0.12,100,700,31,0.8
25,4,0.5433884297520661,0.9,0.03,400,500,127,0.9
26,4,0.5585399449035813,1.0,0.02,100,200,15,1.0
27,4,0.5413223140495868,0.9,0.05,50,350,63,0.7
28,4,0.5654269972451791,0.9,0.05,50,350,15,0.8
29,4,0.5544077134986226,0.9,0.03,100,1000,31,1.0
